open_time,open,high,low,close,volume
1748599200000,33.38700,33.86300,33.23200,33.42100,139406.09
1748602800000,33.42700,33.49200,32.58400,32.98700,192499.31
1748606400000,32.98800,33.57300,32.63400,33.37900,316007.87
1748610000000,33.38000,33.67300,32.36500,32.37800,257858.77
1748613600000,32.37800,32.60900,31.36900,31.78900,327790.06
1748617200000,31.78800,32.78500,31.69500,32.51400,312790.55
1748620800000,32.51800,32.84000,31.71300,32.40000,471241.93
1748624400000,32.40800,33.21300,32.24800,33.09900,329543.46
1748628000000,33.09800,34.21200,33.05700,34.20100,367784.58
1748631600000,34.20200,34.34800,33.36300,33.38600,337166.67
1748635200000,33.38600,33.81700,33.11500,33.13000,226862.05
1748638800000,33.13000,33.78200,33.01800,33.53800,157924.23
1748642400000,33.54200,33.66100,32.12700,32.28900,218774.03
1748646000000,32.29300,32.84000,31.99800,32.81600,210576.97
1748649600000,32.83000,33.66300,32.76400,32.98000,384810.57
1748653200000,32.99100,33.08000,32.10200,32.10200,329275.54
1748656800000,32.10500,32.20000,30.93100,31.02000,381653.71
1748660400000,31.02300,31.77700,30.88500,31.67000,276989.20
1748664000000,31.67000,32.21700,31.10100,31.89600,227052.17
1748667600000,31.89100,32.10000,31.37600,31.38900,210270.99
1748671200000,31.39000,32.01900,31.35700,31.93900,149286.42
1748674800000,31.93800,31.99400,31.01500,31.51400,239518.28
1748678400000,31.51400,31.71600,31.09900,31.14500,213142.11
1748682000000,31.14000,31.52100,30.93100,31.04000,173336.14
1748685600000,31.04600,31.32400,30.72400,31.31700,165431.91
1748689200000,31.32100,31.65600,31.18100,31.38200,134912.36
1748692800000,31.38200,32.41200,31.36200,32.38600,265313.33
1748696400000,32.38500,32.90500,32.33400,32.69800,317740.22
1748700000000,32.69700,32.97700,32.23900,32.83800,301034.18
1748703600000,32.83700,33.24100,32.47300,32.66300,423256.50
1748707200000,32.66200,33.17000,32.54100,32.91600,219456.82
1748710800000,32.91600,32.93100,32.42100,32.50700,155846.49
1748714400000,32.51100,32.90700,32.40100,32.90300,102519.36
1748718000000,32.90400,33.13100,32.74400,32.91300,123245.64
1748721600000,32.91000,33.00500,32.71100,32.78000,65760.87
1748725200000,32.77700,33.39100,32.77000,33.26300,161406.02
1748728800000,33.26400,33.41100,33.00300,33.02600,83608.70
1748732400000,33.02300,33.16900,32.65300,32.67100,107938.05
1748736000000,32.67100,32.91000,32.52200,32.64600,108105.40
1748739600000,32.64100,32.85900,32.28100,32.41700,104979.70
1748743200000,32.41700,32.66700,32.15700,32.59200,89243.78
1748746800000,32.59200,32.70900,32.17800,32.57800,109792.65
1748750400000,32.57700,33.08800,32.38300,33.02000,115904.67
1748754000000,33.02700,33.40000,32.86500,33.09000,163063.64
1748757600000,33.08900,33.24500,32.50600,32.56300,143637.41
1748761200000,32.56700,32.62900,32.24400,32.48700,102470.83
1748764800000,32.48700,32.51700,32.12900,32.42600,99680.58
1748768400000,32.42500,32.50600,31.80300,32.00700,190316.00
1748772000000,32.00900,32.10900,31.63200,31.79000,158212.41
1748775600000,31.78200,32.15100,31.63100,31.84500,146425.28
1748779200000,31.84300,31.98600,31.50500,31.75600,131736.94
1748782800000,31.75400,32.14800,31.67100,31.88500,121232.07
1748786400000,31.89000,32.36900,31.89000,32.03100,177404.47
1748790000000,32.03100,32.46200,31.84300,32.44500,130746.90
1748793600000,32.44300,33.31300,32.35100,32.94400,244199.02
1748797200000,32.94600,33.15000,32.75500,33.11400,95212.63
1748800800000,33.11200,33.22000,32.55000,32.92200,133197.85
1748804400000,32.92200,33.35900,32.72300,33.34600,85926.06
1748808000000,33.34700,33.85100,33.20000,33.41000,162017.92
1748811600000,33.41700,34.11900,33.31700,34.06200,160370.73
1748815200000,34.06100,34.15800,33.66300,33.92300,138513.65
1748818800000,33.91900,34.27900,33.86600,34.15200,93640.86
1748822400000,34.15600,34.34700,33.73000,33.79800,158366.65
1748826000000,33.80200,33.99900,33.65400,33.69800,74086.08
1748829600000,33.69800,33.75000,33.41600,33.47000,105867.75
1748833200000,33.47100,33.73900,33.23100,33.49500,104076.27
1748836800000,33.49300,33.60400,33.24800,33.30000,63227.47
1748840400000,33.30000,33.38500,32.61000,32.92200,183502.47
1748844000000,32.92000,33.41600,32.74300,33.27400,100987.35
1748847600000,33.27300,33.77900,33.24400,33.62200,162205.86
